Router:R5,34:CD:56:EF:12:78,192.168.0.105
Router:R1,7A:BC:12:DF:45:67,192.168.0.101
Router:R8,9C:12:EF:45:67:23,192.168.0.108
Router:R9,3E:45:67:8A:CD:12,192.168.0.109
Router:R6,5A:DE:78:AB:23:45,192.168.0.106
Laptop:L1,DA:EF:AF:D7:2E:EF,192.168.0.173
Router:R10,67:89:01:CD:EF:23,192.168.0.110
Router:R7,8B:CF:23:67:89:01,192.168.0.107
Router:R3,90:AB:CD:12:34:56,192.168.0.103
Router:R2,83:DE:45:AC:89:EF,192.168.0.102
Router:R4,1A:BC:23:EF:67:89,192.168.0.104
Laptop:L2,ED:72:34:F0:47:DE,192.168.0.35
